"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Shushan Purim","3/25/2016",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","4/2/2016",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Rosh Chodesh Nisan","4/9/2016",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","4/9/2016",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat HaGadol","4/16/2016",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/22/2016",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/22/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/23/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/24/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/25/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/26/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/27/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/28/2016",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/29/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/30/2016",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","5/5/2016",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/8/2016",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/9/2016",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","5/11/2016",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/12/2016",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/22/2016",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/26/2016",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","6/5/2016",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","6/7/2016",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","6/11/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/12/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/13/2016",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","7/6/2016",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","7/7/2016",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/24/2016",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","8/5/2016",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","8/13/2016",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","8/13/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/14/2016",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/20/2016",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","9/3/2016",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","9/4/2016",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","10/2/2016",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5777","10/3/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","10/4/2016",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","10/5/2016",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","10/8/2016",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","10/11/2016",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/12/2016",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/16/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/17/2016",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/18/2016",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/19/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/20/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/21/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/22/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/23/2016",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/24/2016",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/25/2016",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","11/1/2016",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","11/2/2016",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","12/1/2016",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/24/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/25/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/26/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/27/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/28/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/29/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/30/2016",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/30/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/31/2016",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","1/1/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","1/8/2017",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/28/2017",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","2/11/2017",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/25/2017",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/26/2017",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/27/2017",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Ta'anit Esther","3/9/2017",,,,"true","Fast of Esther","3","Jewish Holidays"
"Shabbat Zachor","3/11/2017",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Erev Purim","3/11/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/12/2017",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/13/2017",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/18/2017",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/25/2017",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/28/2017",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","4/8/2017",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/10/2017",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/10/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/11/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/12/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/13/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/14/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/15/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/16/2017",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/17/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/18/2017",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/24/2017",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/26/2017",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/27/2017",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","5/1/2017",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/2/2017",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/10/2017",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/14/2017",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/24/2017",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/26/2017",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/30/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/31/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/1/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/24/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/25/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/11/2017",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","7/24/2017",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/29/2017",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/31/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/1/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","8/5/2017",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/22/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/23/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","9/20/2017",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5778","9/21/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/22/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Shabbat Shuva","9/23/2017",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Tzom Gedaliah","9/24/2017",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Erev Yom Kippur","9/29/2017",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/30/2017",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/4/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/5/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/6/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/7/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/8/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/9/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/11/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/12/2017",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/13/2017",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/20/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/21/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/19/2017",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/13/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/14/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/15/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/16/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/17/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/18/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/18/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/19/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/19/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/20/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/28/2017",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/17/2018",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/31/2018",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/10/2018",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/15/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/16/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","2/24/2018",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","2/28/2018",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","2/28/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/1/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/2/2018",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/10/2018",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/17/2018",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","3/17/2018",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat HaGadol","3/24/2018",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","3/30/2018",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","3/30/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/31/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/1/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/2/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/5/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/6/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/7/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/12/2018",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/15/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/16/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/18/2018",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/19/2018",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","4/29/2018",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/3/2018",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/13/2018",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/15/2018",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/19/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/20/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/21/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/13/2018",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/14/2018",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/1/2018",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","7/13/2018",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/21/2018",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/21/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/22/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","7/28/2018",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/11/2018",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/12/2018",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","9/9/2018",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5779","9/10/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/11/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/12/2018",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","9/15/2018",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","9/18/2018",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/19/2018",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/23/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/24/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/25/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/26/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/27/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/28/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/29/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/30/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/1/2018",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/2/2018",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/9/2018",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/10/2018",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/8/2018",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/9/2018",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/2/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/3/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/4/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/5/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/6/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/7/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/8/2018",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/8/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/9/2018",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/9/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/10/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/18/2018",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/7/2019",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/21/2019",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/5/2019",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/6/2019",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Purim Katan","2/19/2019",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shabbat Shekalim","3/2/2019",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/7/2019",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/8/2019",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","3/16/2019",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/20/2019",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/20/2019",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/21/2019",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/22/2019",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/30/2019",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Rosh Chodesh Nisan","4/6/2019",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","4/6/2019",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat HaGadol","4/13/2019",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/19/2019",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/19/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/20/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/21/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/22/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/23/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/24/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/25/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/26/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/27/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","5/2/2019",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
